title,popularity,release_date
Four Rooms,22.87623,1995-12-09
Star Wars,126.393695,1977-05-25
Finding Nemo,85.688789,2003-05-30
Forrest Gump,138.133331,1994-07-06
American Beauty,80.87860500000001,1999-09-15
Dancer in the Dark,22.022228,2000-05-17
The Fifth Element,109.528572,1997-05-07
Metropolis,32.351527000000004,1927-01-10
My Life Without Me,7.958831,2003-03-07
Pirates of the Caribbean: The Curse of the Black Pearl,271.972889,2003-07-09
Kill Bill: Vol. 1,79.75496600000001,2003-10-10
Jarhead,32.227222999999995,2005-11-04
Apocalypse Now,49.973462,1979-08-15
Unforgiven,37.380435,1992-08-07
The Simpsons Movie,46.875375,2007-07-25
Eternal Sunshine of the Spotless Mind,56.481487,2004-03-19
Amores perros,23.281616,2000-06-16
Pirates of the Caribbean: Dead Man's Chest,145.84737900000002,2006-06-20
A History of Violence,34.628738,2005-09-23
2001: A Space Odyssey,86.201184,1968-04-10
8 Mile,32.798571,2002-11-08
Absolute Power,13.576765,1997-02-14
Brazil,41.089863,1985-02-20
Walk the Line,35.580032,2005-09-13
Million Dollar Baby,70.456012,2004-12-15
Billy Elliot,20.428237,2000-05-18
American History X,73.56723199999999,1998-10-30
War of the Worlds,48.572726,2005-06-28
Mars Attacks!,44.090534999999996,1996-12-12
Before Sunrise,23.672570999999998,1995-01-27
Memento,60.715151,2000-10-11
Blade Runner,94.05613100000001,1982-06-25
Hero,23.607392,2002-12-19
Before Sunset,14.799323000000001,2004-02-10
Open Water,15.611857,2004-08-06
Raiders of the Lost Ark,68.159596,1981-06-12
Indiana Jones and the Temple of Doom,66.976776,1984-05-23
Indiana Jones and the Last Crusade,80.972475,1989-05-24
Beverly Hills Cop,29.843818,1984-11-29
Armageddon,58.485967,1998-07-01
Beverly Hills Cop II,25.28436,1987-05-18
Gladiator,95.301296,2000-05-01
Lock Stock and Two Smoking Barrels,16.032594,1998-03-05
Taxi Driver,58.845025,1976-02-07
Run Lola Run,27.36562,1998-08-20
Back to the Future,76.60323299999999,1985-07-03
Predator,50.009408,1987-06-11
Snatch,53.595686,2000-09-01
Scarface,70.105981,1983-12-08
Pretty Woman,45.473484,1990-03-23
The Big Lebowski,49.230089,1998-03-06
Match Point,30.669913,2005-10-26
The Untouchables,38.272889,1987-06-02
Charlie and the Chocolate Factory,53.905592000000006,2005-07-13
The Lord of the Rings: The Fellowship of the Ring,138.049577,2001-12-18
The Lord of the Rings: The Two Towers,106.914973,2002-12-18
The Lord of the Rings: The Return of the King,123.63033200000001,2003-12-01
Princess Mononoke,60.732738,1997-07-12
Spirited Away,118.968562,2001-07-20
O Brother Where Art Thou?,39.742009,2000-08-30
Groundhog Day,52.744331,1993-02-11
Donnie Darko,61.210016,2001-01-18
Brokeback Mountain,44.135568,2005-09-02
Crouching Tiger Hidden Dragon,45.742253999999996,2000-10-01
Akira,39.338097,1988-07-16
Star Trek: The Motion Picture,24.616634,1979-12-06
Lost in Translation,45.66662,2003-08-31
Star Trek II: The Wrath of Khan,22.434102,1982-06-03
The Dark Knight,187.322927,2008-07-16
Star Trek III: The Search for Spock,15.314027,1984-05-31
Ocean's Eleven,60.929352,2001-12-07
Edward Scissorhands,47.51363,1990-12-05
Ocean's Twelve,76.840712,2004-12-09
Back to the Future Part II,43.345252,1989-11-20
K-PAX,30.920075,2001-10-22
Star Trek IV: The Voyage Home,22.258428,1986-11-25
Predator 2,27.934978000000005,1990-11-20
28 Days Later,45.490373999999996,2002-10-31
Star Trek V: The Final Frontier,19.578249,1989-06-09
20000 Leagues Under the Sea,9.358197,1954-12-23
Star Trek VI: The Undiscovered Country,16.188572,1991-12-05
Saw,63.655972999999996,2004-10-01
The Fisher King,16.146572,1991-09-09
The Interpreter,18.69984,2005-04-08
Minority Report,65.948959,2002-06-20
The Good German,5.347936,2006-12-08
Jackie Brown,40.631671000000004,1997-12-24
Lucky Number Slevin,36.921445,2006-02-24
Sin City,66.003433,2005-04-01
Sin City: A Dame to Kill For,85.428395,2014-08-20
Star Trek: Generations,14.779041000000001,1994-11-17
Amélie,73.720244,2001-04-25
Back to the Future Part III,45.769562,1990-05-25
Braveheart,60.722162,1995-05-24
Star Trek: First Contact,25.6713,1996-11-21
