vote_average,vote_count
6.5,530.0
8.1,6624.0
7.6,6122.0
8.2,7927.0
7.9,3313.0
7.6,377.0
7.3,3885.0
8.0,657.0
7.2,77.0
7.5,6985.0
7.7,4949.0
6.6,765.0
8.0,2055.0
7.7,1113.0
6.9,2264.0
7.9,3652.0
7.6,521.0
7.0,5246.0
6.9,832.0
7.9,2998.0
6.8,1626.0
6.4,223.0
7.5,861.0
7.3,718.0
7.7,2439.0
7.4,750.0
8.2,3016.0
6.2,2322.0
6.1,1509.0
7.7,959.0
8.1,4028.0
7.9,3509.0
7.2,635.0
7.6,718.0
5.4,315.0
7.7,3854.0
7.1,2781.0
7.6,3152.0
6.8,961.0
6.4,2482.0
6.1,613.0
7.9,5439.0
7.5,1648.0
8.0,2535.0
7.2,664.0
8.0,6079.0
7.3,2093.0
7.7,2912.0
8.0,2948.0
7.0,1746.0
7.8,2926.0
7.3,1105.0
7.6,1384.0
6.7,3624.0
8.0,8705.0
8.0,7487.0
8.1,8064.0
8.2,1983.0
8.3,3840.0
7.3,1112.0
7.4,2301.0
7.7,3452.0
7.5,1480.0
7.2,927.0
7.8,773.0
6.2,530.0
7.3,1895.0
7.3,675.0
8.2,12002.0
6.4,434.0
7.2,3783.0
7.5,3601.0
6.4,2124.0
7.4,3829.0
7.1,695.0
6.9,477.0
5.9,730.0
7.1,1777.0
5.6,376.0
6.8,157.0
6.7,413.0
7.2,2184.0
7.2,341.0
6.2,392.0
7.1,2608.0
5.9,86.0
7.3,1514.0
7.4,1323.0
7.2,2691.0
6.3,1286.0
6.4,452.0
7.8,3310.0
7.1,2900.0
7.7,3336.0
7.0,661.0
6.3,391.0
6.1,479.0
7.2,345.0
7.5,793.0
8.1,2705.0
6.1,1071.0
6.3,1251.0
5.7,2495.0
7.3,4128.0
7.3,406.0
7.7,336.0
7.2,353.0
6.9,291.0
6.3,451.0
7.8,1522.0
8.4,5893.0
8.0,808.0
8.3,3338.0
7.1,1546.0
7.0,628.0
6.6,607.0
7.3,25.0
6.9,1339.0
7.4,798.0
6.4,533.0
6.6,2337.0
6.7,274.0
7.6,165.0
7.0,2096.0
7.5,7359.0
8.1,4443.0
6.6,2512.0
8.5,8205.0
7.8,1076.0
7.7,4185.0
8.1,483.0
6.9,4500.0
7.6,334.0
7.9,1422.0
7.6,23.0
6.4,28.0
5.9,2143.0
6.9,1147.0
6.5,1999.0
6.4,153.0
5.5,434.0
7.7,207.0
6.4,3012.0
8.2,1069.0
4.2,808.0
7.5,749.0
6.8,1148.0
5.6,28.0
7.6,1422.0
5.1,497.0
6.8,107.0
7.6,4856.0
6.2,2487.0
5.7,2077.0
4.3,318.0
7.5,825.0
8.1,1128.0
7.4,586.0
6.7,59.0
7.1,1234.0
8.2,878.0
7.9,4470.0
7.0,3088.0
6.6,1673.0
7.2,1180.0
7.6,1709.0
7.9,613.0
7.3,1630.0
8.2,2078.0
7.6,883.0
6.8,951.0
7.6,3948.0
5.5,1217.0
6.8,384.0
6.7,85.0
7.1,618.0
7.0,350.0
7.7,306.0
6.9,1914.0
7.0,542.0
6.7,2629.0
5.2,1498.0
4.2,1418.0
7.1,775.0
8.0,1864.0
8.3,4329.0
7.1,3857.0
8.1,2311.0
6.9,1069.0
7.4,1183.0
6.2,2392.0
6.9,101.0
4.9,740.0
7.1,360.0
7.7,3009.0
6.7,1374.0
6.2,578.0
7.1,716.0
6.9,42.0
7.1,212.0
7.2,918.0
7.1,586.0
5.5,308.0
6.8,57.0
7.9,2811.0
7.3,1101.0
6.5,1579.0
8.2,4048.0
8.0,3697.0
5.5,583.0
7.0,485.0
6.1,111.0
7.0,1869.0
7.0,1262.0
8.2,2919.0
6.4,420.0
7.3,630.0
7.8,1307.0
7.5,1065.0
6.8,260.0
6.8,643.0
5.9,2463.0
6.1,302.0
8.2,2320.0
5.6,90.0
6.2,36.0
6.5,1590.0
6.9,144.0
6.7,292.0
6.6,94.0
8.3,9413.0
6.8,5265.0
6.7,4321.0
5.9,3576.0
7.5,3948.0
6.7,1560.0
7.3,1599.0
7.1,158.0
7.6,259.0
6.7,175.0
7.5,2542.0
5.9,406.0
3.5,224.0
7.6,1046.0
7.9,958.0
6.2,2028.0
7.5,5996.0
6.7,270.0
7.6,1994.0
6.3,1067.0
7.0,451.0
6.5,2704.0
7.5,372.0
7.7,357.0
7.0,1910.0
8.0,657.0
7.5,7562.0
8.1,1814.0
7.3,3269.0
6.7,3260.0
7.9,8907.0
6.7,3443.0
6.4,3096.0
7.0,279.0
6.9,4412.0
6.0,3114.0
7.0,794.0
6.9,696.0
7.7,1037.0
6.9,864.0
7.3,1895.0
6.3,444.0
6.1,661.0
7.2,1581.0
6.3,756.0
7.8,2655.0
7.2,1516.0
8.1,3254.0
7.4,1642.0
6.5,1356.0
7.3,950.0
7.7,3795.0
7.9,2443.0
7.4,650.0
6.8,1974.0
6.9,940.0
7.4,364.0
6.9,2759.0
8.0,357.0
6.9,760.0
7.2,987.0
6.5,562.0
5.9,903.0
6.1,950.0
7.6,126.0
6.5,531.0
6.5,456.0
8.0,1945.0
7.5,7006.0
7.4,5815.0
7.7,5877.0
7.5,5608.0
7.4,5494.0
6.6,1791.0
7.7,3220.0
8.3,8428.0
6.3,553.0
6.3,524.0
7.2,1308.0
7.3,337.0
7.3,385.0
6.6,507.0
6.2,110.0
6.1,1373.0
8.1,3757.0
5.9,541.0
6.3,490.0
6.2,527.0
7.6,281.0
7.8,1010.0
7.3,168.0
6.0,506.0
6.2,440.0
5.9,541.0
6.6,1174.0
7.0,302.0
6.6,632.0
7.1,281.0
6.0,925.0
6.7,1698.0
7.7,3147.0
7.4,355.0
7.5,2420.0
7.7,4442.0
6.8,1583.0
6.9,1603.0
7.2,808.0
7.8,1708.0
7.3,894.0
7.6,742.0
7.3,838.0
7.4,5293.0
6.6,741.0
8.2,3128.0
7.7,970.0
7.1,2414.0
6.3,2395.0
7.5,1686.0
7.5,1808.0
7.4,716.0
7.4,797.0
6.5,2965.0
7.0,1591.0
6.4,311.0
7.5,1205.0
7.2,476.0
6.4,529.0
6.6,827.0
7.1,642.0
7.3,395.0
7.5,863.0
8.1,5765.0
7.3,4056.0
6.7,2988.0
6.0,2278.0
6.3,177.0
7.4,3416.0
7.1,1074.0
6.5,1013.0
6.2,1011.0
5.9,979.0
7.3,715.0
7.5,502.0
7.6,155.0
7.4,1300.0
7.7,542.0
6.4,1528.0
7.1,454.0
6.9,324.0
7.2,1098.0
6.5,562.0
6.9,206.0
6.6,488.0
6.5,67.0
5.8,129.0
7.4,344.0
7.2,999.0
6.6,2472.0
7.2,1811.0
7.9,5048.0
7.0,257.0
7.0,504.0
7.1,1710.0
7.7,5269.0
7.3,3806.0
6.8,491.0
6.4,703.0
7.2,1223.0
6.9,94.0
5.6,1243.0
7.8,727.0
7.7,338.0
7.5,89.0
6.6,1532.0
7.1,877.0
7.6,143.0
5.0,543.0
4.4,134.0
7.6,45.0
7.4,247.0
6.6,339.0
6.6,3877.0
7.3,616.0
6.8,1016.0
7.6,292.0
6.9,710.0
6.9,1596.0
6.2,652.0
8.0,1442.0
6.4,811.0
6.3,767.0
7.8,851.0
7.4,1035.0
6.5,2951.0
5.8,628.0
6.6,3237.0
6.7,2631.0
5.9,1928.0
6.5,2028.0
6.7,902.0
7.0,630.0
7.1,538.0
7.5,485.0
6.9,68.0
7.6,240.0
7.6,1477.0
7.0,294.0
7.4,422.0
7.0,239.0
7.1,111.0
6.8,378.0
7.8,1588.0
6.9,703.0
7.1,154.0
6.4,25.0
8.0,4391.0
6.6,284.0
6.9,1055.0
6.8,338.0
7.0,767.0
7.5,202.0
6.5,835.0
6.0,654.0
5.2,1712.0
7.2,541.0
6.7,537.0
5.8,191.0
6.9,235.0
7.1,721.0
7.0,1113.0
6.3,363.0
6.1,663.0
7.0,4997.0
7.0,1182.0
6.0,345.0
7.2,52.0
7.3,2066.0
7.3,383.0
6.5,250.0
7.5,1791.0
7.2,1488.0
6.3,864.0
5.7,690.0
7.3,2281.0
6.3,140.0
6.8,827.0
7.0,107.0
6.5,333.0
7.3,315.0
7.7,2525.0
5.7,136.0
6.7,185.0
5.9,58.0
7.6,3041.0
7.9,4339.0
4.9,11.0
7.1,1165.0
6.2,594.0
7.2,629.0
7.3,453.0
7.5,22.0
6.4,197.0
6.9,240.0
7.1,817.0
5.4,1400.0
6.5,2225.0
7.1,1615.0
6.1,961.0
6.6,203.0
6.6,1157.0
5.8,286.0
5.1,184.0
7.4,558.0
6.8,579.0
5.9,299.0
7.0,1451.0
7.4,1050.0
7.0,177.0
6.1,67.0
6.8,538.0
7.1,426.0
6.4,64.0
6.3,404.0
7.0,266.0
6.5,1197.0
6.4,2089.0
6.9,2066.0
6.6,1896.0
6.9,677.0
6.4,2065.0
6.1,1267.0
7.7,938.0
7.3,1221.0
6.7,1225.0
6.7,1414.0
8.0,1076.0
6.4,972.0
7.5,919.0
5.8,568.0
6.2,42.0
7.0,32.0
6.3,2862.0
6.6,1698.0
7.0,675.0
6.2,239.0
5.9,173.0
6.4,100.0
5.9,966.0
7.1,738.0
6.4,1424.0
6.5,1770.0
5.6,512.0
6.8,1783.0
4.1,434.0
7.2,1149.0
5.6,354.0
7.0,509.0
7.5,356.0
6.7,454.0
5.9,308.0
6.7,32.0
5.9,893.0
6.9,358.0
7.2,957.0
7.2,467.0
5.4,205.0
6.2,361.0
6.3,264.0
6.1,236.0
5.7,887.0
5.6,453.0
6.6,322.0
6.1,61.0
6.5,1270.0
5.5,215.0
6.4,194.0
5.7,95.0
5.5,145.0
6.1,3021.0
7.0,389.0
7.4,8776.0
6.3,461.0
6.0,2206.0
5.2,1387.0
6.7,97.0
6.6,7047.0
6.8,397.0
7.4,90.0
6.7,251.0
6.4,505.0
5.1,188.0
6.9,116.0
6.3,168.0
7.2,1374.0
6.7,1062.0
5.4,407.0
6.6,2105.0
7.0,1335.0
4.3,29.0
6.8,823.0
6.7,155.0
6.0,602.0
6.9,435.0
5.9,447.0
6.6,4040.0
6.4,4948.0
7.0,38.0
7.2,1301.0
6.4,215.0
7.2,370.0
6.9,891.0
6.5,642.0
8.2,5879.0
7.9,4665.0
6.3,4432.0
6.4,3992.0
7.1,4116.0
6.9,562.0
5.9,194.0
6.5,1078.0
7.3,652.0
6.3,1233.0
6.2,183.0
6.4,510.0
7.2,219.0
6.4,278.0
6.9,1022.0
5.3,1533.0
6.5,6586.0
6.1,88.0
7.4,1660.0
6.8,796.0
6.7,475.0
6.7,161.0
6.6,1151.0
7.3,2023.0
5.4,81.0
6.9,78.0
7.3,2060.0
7.9,719.0
6.2,68.0
6.2,264.0
6.9,196.0
5.9,107.0
5.6,927.0
5.8,307.0
5.8,865.0
5.2,283.0
5.4,2589.0
6.8,417.0
6.7,95.0
6.0,190.0
5.7,2192.0
5.5,1418.0
6.9,180.0
6.4,89.0
6.5,323.0
5.0,29.0
7.3,156.0
7.7,450.0
7.4,283.0
5.5,427.0
5.6,644.0
6.5,318.0
6.8,1099.0
6.2,512.0
7.3,1634.0
6.1,400.0
6.5,670.0
6.7,3793.0
6.9,113.0
7.0,262.0
7.4,210.0
5.8,198.0
6.4,1926.0
7.5,4369.0
5.7,369.0
6.2,531.0
6.3,66.0
6.2,4021.0
6.1,103.0
6.0,330.0
5.7,36.0
7.0,285.0
6.4,2296.0
6.2,283.0
6.7,548.0
5.9,433.0
6.1,298.0
7.7,1310.0
5.9,353.0
5.5,278.0
6.1,927.0
6.2,597.0
5.8,631.0
6.4,298.0
6.6,382.0
6.6,68.0
5.4,173.0
5.0,388.0
5.3,29.0
6.6,198.0
5.4,201.0
6.3,80.0
6.9,497.0
6.2,661.0
6.3,20.0
6.3,276.0
7.2,848.0
6.7,1173.0
6.7,433.0
6.8,207.0
5.8,1303.0
7.1,1184.0
6.1,205.0
6.9,963.0
6.9,993.0
5.9,13.0
6.7,811.0
6.7,533.0
6.0,90.0
7.4,755.0
6.8,392.0
6.4,480.0
6.9,398.0
6.5,1288.0
6.0,592.0
5.5,841.0
4.1,224.0
5.8,256.0
7.1,334.0
7.3,235.0
6.1,77.0
5.0,471.0
6.5,41.0
6.4,35.0
6.1,82.0
6.3,1630.0
4.9,967.0
7.6,1486.0
7.3,3583.0
7.2,2825.0
7.3,2888.0
5.8,369.0
7.0,1489.0
6.2,92.0
6.2,116.0
6.7,395.0
5.7,75.0
6.1,321.0
6.1,67.0
5.5,313.0
6.1,305.0
7.3,187.0
5.9,487.0
7.5,1506.0
6.8,701.0
6.3,488.0
6.1,203.0
6.0,306.0
7.2,828.0
6.3,1055.0
6.5,108.0
6.4,1599.0
5.7,125.0
5.3,1151.0
5.7,191.0
5.2,297.0
6.7,362.0
7.1,808.0
7.3,638.0
6.0,1344.0
7.1,120.0
6.5,165.0
7.6,127.0
6.7,1789.0
6.3,1570.0
4.4,180.0
7.1,1061.0
7.1,346.0
6.1,38.0
7.2,915.0
5.4,254.0
6.7,848.0
6.5,166.0
5.2,253.0
6.5,709.0
6.9,317.0
5.6,19.0
6.5,1343.0
4.6,5.0
6.8,81.0
7.7,854.0
6.3,210.0
6.4,1648.0
5.4,686.0
7.4,60.0
7.0,21.0
6.1,37.0
7.7,275.0
7.4,59.0
8.1,856.0
7.9,241.0
7.3,82.0
4.6,180.0
7.4,299.0
7.1,1910.0
5.4,228.0
6.8,1405.0
6.2,302.0
7.7,505.0
6.5,168.0
6.8,273.0
6.8,131.0
7.2,72.0
5.7,313.0
6.8,532.0
5.6,210.0
6.1,340.0
7.6,721.0
7.3,1131.0
5.4,44.0
6.3,1018.0
6.4,470.0
5.6,687.0
5.1,374.0
6.1,233.0
6.4,377.0
6.1,327.0
5.5,135.0
6.7,526.0
7.2,102.0
6.7,90.0
6.6,195.0
7.2,1894.0
6.1,992.0
6.6,660.0
7.1,1444.0
6.8,151.0
7.0,428.0
6.2,243.0
7.2,53.0
6.6,1692.0
7.4,1317.0
7.3,1077.0
6.7,796.0
6.8,67.0
7.3,160.0
7.0,1476.0
6.1,840.0
5.7,736.0
6.0,238.0
5.4,982.0
7.4,64.0
5.8,912.0
5.3,750.0
4.6,793.0
5.6,1232.0
7.4,1049.0
7.7,1358.0
6.5,513.0
5.6,406.0
5.9,297.0
6.0,395.0
5.6,818.0
6.7,216.0
4.8,442.0
7.2,619.0
5.9,290.0
7.0,776.0
6.2,767.0
6.0,216.0
6.6,303.0
7.1,334.0
6.6,1449.0
6.5,1267.0
7.4,356.0
5.4,292.0
7.3,1247.0
6.5,501.0
7.2,352.0
5.5,208.0
5.9,189.0
5.9,437.0
7.4,2199.0
5.7,25.0
7.1,410.0
5.2,153.0
